1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Open/8-БИТ.png;4;ru;8-бит;en;8-BIT;1a;8bit;1b;8бит
2;https://akramont.github.io/ImageDraw/AdContent/brawl_draw.png;com.drawing.brawlstars;2;ru;Скачать обучение рисовать Бравл старс;en;Download learning to draw Brawl Stars
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Рико.png;2;ru;Рико;en;Rico
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Базз.png;2;ru;Базз;en;Bazz
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Сэнди.png;2;ru;Сэнди;en;Sandy
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Беа.png;2;ru;Беа;en;Bea
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Макс.png;2;ru;Макс;en;Max
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Карл.png;2;ru;Карл;en;Carl
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Пэм.png;2;ru;Пэм;en;Pam
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Нани.png;2;ru;Нани;en;Nani
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Эль Примо.png;2;ru;Эль Примо;en;El primo
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Поко.png;2;ru;Поко;en;Poco
2;https://akramont.github.io/ImageDraw/AdContent/clash_draw.png;com.drawing.clash;2;ru;Скачать обучение рисовать Clash of clans;en;Download learning to draw Clash of clans
1;https://akramont.github.io/ImageDraw/AdContent/leo.png;https://akramont.github.io/ImageDraw/BrawlGuess/Леон.png;2;ru;Леон;en;Leon
